FMT	254	47	NKT1	QIffffffff	TimeUS	Cnt	IMUMin	IMUMax	EKFMin	EKFMax	AngMin	AngMax	VelMin	VelM
IMU	44342217	-0.0005706947	-8.29E-05	-0.0005289869	0.1205541	0.07509188	-9.807524	0	0	34.56187	1	1	999	999
IMU	44382244	-0.0006618529	-3.56E-05	0.0001369101	0.1112137	0.09074952	-9.823022	0	0	34.56363	1	1	999	999
IMU	44422112	-0.0009725565	0.0007205784	-0.0004203807	0.07693237	0.0706311	-9.797324	0	0	34.56442	1	1	999	999
IMU	44462111	9.99E-05	-7.62E-06	-0.0002533006	0.1166791	0.06296521	-9.861034	0	0	34.56537	1	1	999	999
IMU	44502518	0.0006214678	8.41E-05	0.001051646	0.0856557	0.08129131	-9.828117	0	0	34.56741	1	1	999	999
IMU	44542265	-0.001229761	-0.0001605413	-0.0002459298	0.09055573	0.09392671	-9.866089	0	0	34.56972	1	1	999	999
IMU	44582127	-0.001081959	0.0006990659	-0.0005610247	0.09986008	0.05997936	-9.815598	0	0	34.57164	1	1	999	999
IMU	44622251	-0.000609429	0.0001480027	0.00106443	0.110644	0.05566004	-9.850716	0	0	34.57312	1	1	999	999
IMU	44662220	-0.0004115253	0.0001817569	0.0005489803	0.1222027	0.08610648	-9.797354	0	0	34.57445	1	1	999	999
IMU	44702449	0.001347698	-0.0002777472	0.0008507682	0.09531438	0.05873437	-9.831062	0	0	34.57521	1	1	999	999
IMU	44742001	3.57E-05	-0.0006860506	0.0003016369	0.1144021	0.07980977	-9.837301	0	0	34.5751	1	1	999	999
IMU	44782204	-0.0003186432	0.001076746	6.28E-05	0.1018375	0.07210945	-9.860746	0	0	34.57592	1	1	999	999
IMU	44822197	0.0002838238	0.000594845	0.0005140858	0.1267192	0.07360999	-9.794364	0	0	34.57734	1	1	999	999
IMU	44862005	0.0007580495	-0.0001529203	0.0005507945	0.1130913	0.08800607	-9.817325	0	0	34.57908	1	1	999	999
IMU	44902666	0.0003419945	0.000307786	0.0003553896	0.1022741	0.1076076	-9.82737	0	0	34.58133	1	1	999	999
IMU	44942043	0.0009434227	-0.0005014537	-0.000106691	0.1198243	0.08789984	-9.831045	0	0	34.58386	1	1	999	999
IMU	44981991	-0.0007906542	-0.0001566899	-0.001121576	0.1075922	0.07809345	-9.796518	0	0	34.58624	1	1	999	999
IMU	45022061	0.001602546	0.0001241351	-7.09E-05	0.1261752	0.08403242	-9.838576	0	0	34.58896	1	1	999	999
IMU	45061987	3.46E-05	0.0001268382	-0.0004280916	0.1201025	0.08919276	-9.812598	0	0	34.5913	1	1	999	999
IMU	45102378	-0.0003812571	0.001402786	0.0003874243	0.0931547	0.09383891	-9.825772	0	0	34.5935	1	1	999	999
IMU	45142250	-0.001650968	-0.0006758649	0.0003905785	0.119607	0.05673161	-9.810306	0	0	34.59586	1	1	999	999
IMU	45182051	0.0007423313	2.21E-06	0.0002728005	0.1272581	0.07771132	-9.808273	0	0	34.59822	1	1	999	999
IMU	45222623	-0.000809158	0.0003793419	0.001657582	0.0998849	0.08295042	-9.832143	0	0	34.60051	1	1	999	999
IMU	45261999	0.0007437262	-0.001426138	-0.0003316579	0.1161099	0.0805243	-9.843365	0	0	34.60275	1	1	999	999
IMU	45302386	0.001006277	0.0004507413	0.0008645105	0.1101671	0.05363525	-9.842351	0	0	34.60405	1	1	999	999
IMU	45341973	-0.0007063511	-0.0001606121	-0.0003203782	0.09035112	0.07332242	-9.826339	0	0	34.60427	1	1	999	999
IMU	45382000	0.001855005	0.0008630903	-0.00111893	0.1198169	0.08278621	-9.852566	0	0	34.60431	1	1	999	999
IMU	45422037	-4.74E-05	0.0001547302	0.0008436566	0.0986843	0.07790011	-9.846616	0	0	34.60444	1	1	999	999
IMU	45462235	3.92E-05	0.0003237615	3.68E-05	0.105511	0.07043648	-9.833127	0	0	34.60436	1	1	999	999
IMU	45502566	0.0001876626	0.000587508	0.0008987737	0.1074233	0.06404706	-9.848188	0	0	34.60438	1	1	999	999
IMU	45542040	-7.93E-05	-0.0005830612	-0.0001317161	0.110661	0.06480642	-9.81551	0	0	34.6044	1	1	999	999
IMU	45582037	0.000788374	-0.0001050273	-0.0006680972	0.1206557	0.09632324	-9.808508	0	0	34.60438	1	1	999	999
IMU	45621985	-9.39E-05	-6.92E-05	-9.41E-05	0.1256919	0.08324414	-9.823486	0	0	34.60439	1	1	999	999
IMU	45662037	0.0003786393	-0.001038444	-0.0003820712	0.128123	0.06368459	-9.812412	0	0	34.60441	1	1	999	999
IMU	45702422	-0.001579292	0.001018389	0.001219446	0.1062756	0.06466581	-9.852965	0	0	34.60442	1	1	999	999
IMU	45742366	-0.0008311084	-0.0002153001	0.0008101975	0.1114794	0.06600416	-9.849543	0	0	34.60435	1	1	999	999
IMU	45782258	0.00080363	0.0007392155	-0.000315983	0.1114449	0.06519988	-9.832363	0	0	34.60443	1	1	999	999
IMU	45822323	0.0002060176	-0.0001998571	0.001278441	0.1090467	0.06354745	-9.833969	0	0	34.60432	1	1	999	999
IMU	45862225	0.0007480561	-0.0003105856	-0.0004980196	0.1056344	0.0536604	-9.823019	0	0	34.60439	1	1	999	999
IMU	45902524	-0.0002103282	0.0001449855	0.001653498	0.1130968	0.07546963	-9.869125	0	0	34.60447	1	1	999	999
IMU	45942565	-0.0002713132	0.001231246	0.001734151	0.1059737	0.08322825	-9.845945	0	0	34.60435	1	1	999	999
IMU	45982113	-0.0006126782	-9.80E-05	0.000497624	0.1007929	0.08571996	-9.812891	0	0	34.60442	1	1	999	999
IMU	46022209	0.0004179382	0.0003564733	-0.0006296387	0.1162164	0.06643899	-9.847206	0	0	34.60434	1	1	999	999
IMU	46062446	0.0002548679	0.0008241254	-0.0004016893	0.1223353	0.08806577	-9.80883	0	0	34.60442	1	1	999	999
IMU	46102589	0.00121765	0.0004548132	-0.0003262242	0.1209728	0.07698674	-9.827348	0	0	34.60441	1	1	999	999
IMU	46142305	0.001366674	0.0004837522	-0.0002017957	0.1300271	0.0731894	-9.826459	0	0	34.60442	1	1	999	999
IMU	46182109	0.001929975	-0.000366046	-0.0003616994	0.1122387	0.08761365	-9.843989	0	0	34.60431	1	1	999	999
IMU	46222299	0.0007183539	-0.0003257491	0.001132259	0.1149887	0.06632413	-9.808125	0	0	34.60432	1	1	999	999
IMU	46262122	0.0003290166	-0.0001228206	0.001096234	0.1128058	0.09655876	-9.882964	0	0	34.6045	1	1	999	999
IMU	46302739	-0.0002254752	-1.91E-05	-0.0002633116	0.131985	0.05885425	-9.802113	0	0	34.60527	1	1	999	999
IMU	46341974	0.0008045536	-0.0006562405	0.0002578064	0.1098308	0.06993665	-9.809629	0	0	34.60626	1	1	999	999
IMU	46381986	0.0007598578	0.001266799	0.0001951166	0.1180675	0.09074225	-9.809189	0	0	34.60713	1	1	999	999
IMU	46422001	0.001272043	-0.0003953462	-5.64E-05	0.1149278	0.08105506	-9.850801	0	0	34.60799	1	1	999	999
IMU	46462089	-0.001025087	0.0005662148	0.000553409	0.09083273	0.06907241	-9.836579	0	0	34.60889	1	1	999	999
IMU	46502603	0.001293997	-0.0006103733	0.0004197341	0.1107933	0.0766021	-9.847767	0	0	34.61002	1	1	999	999
