QBfffffffffff	TimeUS	Health	D0	D45	D90	D135	D180	D225	D270	D315	DUp	CAn	CDis
PRX	44402422	2	24.69	0	25.99	0	16	0	25.99	0	0	180	16
PRX	44502511	2	24.58	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	44602446	2	17.98	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	44702441	2	18.85	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	44802458	2	18.99	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	44902657	2	16.58	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	45002370	2	16.08	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	45102370	2	20.92	0	25.99	0	16	0	25.99	0	0	180	16
PRX	45202338	2	22.18	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	45302378	2	20.44	0	25.99	0	15.98	0	25.99	0	0	180	15.98
PRX	45402343	2	17.01	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	45502559	2	23.75	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	45602371	2	22.89	0	25.99	0	16	0	25.99	0	0	180	16
PRX	45702413	2	25.22	0	25.99	0	16	0	25.99	0	0	180	16
PRX	45802455	2	25.8	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	45902516	2	18.33	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	46002691	2	21.54	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	46102582	2	21.64	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	46202443	2	19.74	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	46302732	2	24.43	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	46402342	2	23.06	0	25.99	0	15.96	0	25.99	0	0	180	15.96
PRX	46502595	2	20.23	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	46602411	2	24.55	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	46702396	2	17.95	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	46802333	2	18.96	0	25.99	0	15.98	0	25.99	0	0	180	15.98
PRX	46902426	2	25.12	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	47002383	2	18.08	0	25.99	0	15.98	0	25.99	0	0	180	15.98
PRX	47102809	2	18.78	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	47202456	2	24.19	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	47302603	2	20.48	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	47402553	2	19.48	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	47502514	2	21.76	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	47602432	2	16.4	0	25.99	0	16	0	25.99	0	0	180	16
PRX	47702714	2	21.05	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	47802420	2	22.23	0	25.99	0	16.05	0	25.99	0	0	180	16.05
PRX	47902417	2	17.39	0	25.99	0	16.05	0	25.99	0	0	180	16.05
PRX	48002404	2	18.71	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	48102339	2	21.62	0	25.99	0	15.95	0	25.99	0	0	180	15.95
PRX	48202550	2	24.9	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	48302437	2	23.22	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	48402530	2	19.15	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	48502511	2	16.7	0	25.99	0	16.02	0	25.99	0	0	180	16.02
PRX	48602437	2	18.56	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	48702380	2	16.47	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	48802302	2	18.41	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	48902419	2	18.94	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	49002412	2	24.23	0	25.99	0	15.98	0	25.99	0	0	180	15.98
PRX	49102451	2	22.99	0	25.99	0	16.05	0	25.99	0	0	180	16.05
PRX	49202571	2	24.34	0	25.99	0	16.03	0	25.99	0	0	180	16.03
PRX	49302460	2	25.58	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	49402484	2	25.89	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	49503717	2	23.43	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	49602456	2	20.35	0	25.99	0	15.99	0	25.99	0	0	180	15.99
PRX	49702544	2	16.89	0	25.99	0	15.98	0	25.99	0	0	180	15.98
PRX	49802378	2	18.67	0	25.99	0	16.01	0	25.99	0	0	180	16.01
PRX	49902454	2	16.15	0	25.99	0	16.04	0	25.99	0	0	180	16.04
PRX	50002387	2	20.38	0	25.99	0	16.17	0	25.99	0	0	180	16.17
PRX	50102403	2	24.59	0	25.99	0	16.48	0	25.99	0	0	180	16.48
PRX	50202421	2	19.33	0	25.99	0	16.78	0	25.99	0	0	180	16.78
PRX	50302473	2	15.72	0	25.99	0	17.14	0	25.99	0	0	0	15.72
PRX	50402373	2	14.87	0	25.99	0	17.67	0	25.99	0	0	0	14.87
PRX	50502415	2	14.49	0	25.99	0	18.24	0	25.99	0	0	0	14.49
PRX	50602425	2	14.17	0	25.99	0	18.76	0	25.99	0	0	0	14.17
PRX	50702473	2	16.26	0	25.99	0	22.53	0	25.99	0	0	0	16.26
PRX	50802489	2	12.93	0	25.99	0	23.72	0	25.99	0	0	0	12.93
PRX	50902434	2	18.98	0	15.78	0	25.71	0	25.99	0	0	90	15.78
PRX	51002535	2	11.6	0	8.06	0	25.92	0	15.15	0	0	90	8.06
PRX	51102477	2	8.92	0	5.92	0	25.98	0	12.78	0	0	90	5.92
PRX	51202452	2	7.14	0	5.29	0	25.99	0	12.15	0	0	90	5.29
PRX	51302485	2	5.8	0	5.08	0	25.99	0	22.53	0	0	90	5.08
PRX	51402461	2	4.69	0	4.99	0	25.99	0	18.32	0	0	0	4.69
PRX	51502438	2	2.77	0	4.94	0	25.99	0	24.08	0	0	0	2.77
PRX	51603123	2	2.12	0	5.02	0	25.99	0	14.92	0	0	0	2.12
PRX	51702395	2	1.98	0	5.04	0	25.99	0	16.57	0	0	0	1.98
PRX	51802353	2	1.98	0	4.97	0	25.99	0	23.64	0	0	0	1.98
PRX	51902522	2	2.27	0	5.03	0	25.99	0	25.41	0	0	0	2.27
PRX	52002472	2	2.96	0	5.06	0	25.99	0	25.85	0	0	0	2.96
PRX	52102409	2	3.55	0	5.15	0	25.99	0	25.96	0	0	0	3.55
PRX	52202378	2	4.29	0	5.26	0	25.99	0	14.48	0	0	0	4.29
PRX	52302454	2	5.47	0	5.35	0	25.99	0	23.12	0	0	90	5.35
PRX	52402450	2	6.35	0	5.58	0	25.99	0	25.28	0	0	90	5.58
PRX	52502536	2	7.15	0	5.89	0	25.99	0	25.91	0	0	90	5.89
