	Lab 3 output:

straight time is 10000 and turn time is 2000 
x = 0.000000  y = 0.000000 
x = -0.053356  y = -0.000012 
x = -0.043979  y = 0.000035 
x = -0.043979  y = 0.000035 
x = -0.037737  y = 0.000046 
x = -0.030486  y = 0.000075 
x = -0.030486  y = 0.000075 
x = -0.022029  y = 0.000105 
x = -0.014902  y = 0.000137 
x = -0.014902  y = 0.000137 
x = -0.006971  y = 0.000183 
x = 0.000471  y = 0.000239 
x = 0.000471  y = 0.000239 
x = 0.015946  y = 0.000382 
x = 0.015946  y = 0.000382 
x = 0.023160  y = 0.000466 
x = 0.031001  y = 0.000652 
x = 0.031001  y = 0.000652 
x = 0.038203  y = 0.000663 
x = 0.046167  y = 0.000786 
x = 0.046167  y = 0.000786 
x = 0.053664  y = 0.000908 
x = 0.060947  y = 0.001030 
x = 0.060947  y = 0.001030 
x = 0.068998  y = 0.001180 
x = 0.076418  y = 0.001319 
x = 0.076418  y = 0.001319 
x = 0.091985  y = 0.001652 
x = 0.091985  y = 0.001652 
x = 0.099212  y = 0.001817 
x = 0.107106  y = 0.001997 
x = 0.107106  y = 0.001997 
x = 0.114526  y = 0.002176 
x = 0.122400  y = 0.002381 
x = 0.122400  y = 0.002381 
x = 0.130084  y = 0.002576 
x = 0.137502  y = 0.002778 
x = 0.137502  y = 0.002778 
x = 0.145449  y = 0.003004 
x = 0.152926  y = 0.003214 
x = 0.152926  y = 0.003214 
x = 0.160582  y = 0.003438 
x = 0.168469  y = 0.003682 
x = 0.175820  y = 0.003906 
x = 0.183807  y = 0.004248 
x = 0.183807  y = 0.004248 
x = 0.190957  y = 0.004390 
x = 0.199048  y = 0.004654 
x = 0.199048  y = 0.004654 
x = 0.206736  y = 0.004907 
x = 0.214161  y = 0.005163 
x = 0.214161  y = 0.005163 
x = 0.222078  y = 0.005444 
x = 0.229469  y = 0.005696 
x = 0.229469  y = 0.005696 
x = 0.237314  y = 0.005954 
x = 0.245324  y = 0.006207 
x = 0.252722  y = 0.006429 
x = 0.260813  y = 0.006660 
x = 0.260813  y = 0.006660 
x = 0.268250  y = 0.006862 
x = 0.275991  y = 0.007048 
x = 0.275991  y = 0.007048 
x = 0.283673  y = 0.007260 
x = 0.291048  y = 0.007455 
x = 0.291048  y = 0.007455 
x = 0.299269  y = 0.007681 
x = 0.306681  y = 0.007893 
x = 0.306681  y = 0.007893 
x = 0.322238  y = 0.008366 
x = 0.322238  y = 0.008366 
x = 0.329599  y = 0.008591 
x = 0.337596  y = 0.008843 
x = 0.337596  y = 0.008843 
x = 0.344961  y = 0.009083 
x = 0.352822  y = 0.009352 
x = 0.352822  y = 0.009352 
x = 0.360530  y = 0.009606 
x = 0.367931  y = 0.009861 
x = 0.367931  y = 0.009861 
x = 0.376050  y = 0.010146 
x = 0.383375  y = 0.010403 
x = 0.383375  y = 0.010403 
x = 0.391218  y = 0.010693 
x = 0.399113  y = 0.010983 
x = 0.406518  y = 0.011246 
x = 0.414632  y = 0.011523 
x = 0.414632  y = 0.011523 
x = 0.422047  y = 0.011763 
x = 0.429967  y = 0.012008 
x = 0.429967  y = 0.012008 
x = 0.437890  y = 0.012240 
x = 0.445201  y = 0.012518 
x = 0.445201  y = 0.012518 
x = 0.452982  y = 0.012659 
x = 0.460408  y = 0.012866 
x = 0.460408  y = 0.012866 
x = 0.468489  y = 0.013103 
x = 0.476161  y = 0.013331 
x = 0.476161  y = 0.013331 
x = 0.491678  y = 0.013823 
x = 0.491678  y = 0.013823 
x = 0.499068  y = 0.014072 
x = 0.506642  y = 0.014319 
x = 0.506642  y = 0.014319 
x = 0.514750  y = 0.014593 
x = 0.522042  y = 0.014845 
x = 0.522042  y = 0.014845 
x = 0.530075  y = 0.015219 
x = 0.537203  y = 0.015386 
x = 0.537203  y = 0.015386 
x = 0.545275  y = 0.015666 
x = 0.553055  y = 0.015925 
x = 0.553055  y = 0.015925 
x = 0.560529  y = 0.016162 
x = 0.568632  y = 0.016407 
x = 0.576052  y = 0.016621 
x = 0.583979  y = 0.016838 
x = 0.583979  y = 0.016838 
x = 0.591615  y = 0.017120 
x = 0.599080  y = 0.017238 
x = 0.599080  y = 0.017238 
x = 0.606939  y = 0.017450 
x = 0.614393  y = 0.017661 
x = 0.622396  y = 0.017899 
x = 0.622396  y = 0.017899 
x = 0.630137  y = 0.018131 
x = 0.637550  y = 0.018366 
x = 0.637550  y = 0.018366 
x = 0.645460  y = 0.018624 
x = 0.645460  y = 0.018624 
x = 0.660612  y = 0.019117 
x = 0.660612  y = 0.019117 
x = 0.668492  y = 0.019390 
x = 0.675843  y = 0.019639 
x = 0.683753  y = 0.019911 
x = 0.683753  y = 0.019911 
x = 0.691291  y = 0.020163 
x = 0.691291  y = 0.020163 
x = 0.699214  y = 0.020418 
x = 0.707105  y = 0.020659 
x = 0.714551  y = 0.020875 
x = 0.714551  y = 0.020875 
x = 0.722638  y = 0.021098 
x = 0.729538  y = 0.021278 
x = 0.729538  y = 0.021278 
x = 0.737838  y = 0.021508 
x = 0.745410  y = 0.021715 
x = 0.752876  y = 0.021933 
x = 0.760990  y = 0.022176 
x = 0.760990  y = 0.022176 
x = 0.768356  y = 0.022410 
x = 0.775936  y = 0.022643 
x = 0.775936  y = 0.022643 
x = 0.784046  y = 0.022903 
x = 0.784046  y = 0.022903 
x = 0.791338  y = 0.023143 
x = 0.799373  y = 0.023503 
x = 0.806503  y = 0.023660 
x = 0.814588  y = 0.023939 
x = 0.822285  y = 0.024205 
x = 0.822285  y = 0.024205 
x = 0.829755  y = 0.024455 
x = 0.837887  y = 0.024717 
x = 0.837887  y = 0.024717 
x = 0.845287  y = 0.024943 
x = 0.853216  y = 0.025173 
x = 0.853216  y = 0.025173 
x = 0.861135  y = 0.025392 
x = 0.867698  y = 0.025560 
x = 0.867698  y = 0.025560 
x = 0.875872  y = 0.025795 
x = 0.883299  y = 0.026013 
x = 0.883299  y = 0.026013 
x = 0.891020  y = 0.026247 
x = 0.898853  y = 0.026498 
x = 0.898853  y = 0.026498 
x = 0.914216  y = 0.027077 
x = 0.914216  y = 0.027077 
x = 0.921360  y = 0.027225 
x = 0.929452  y = 0.027495 
x = 0.937138  y = 0.027754 
x = 0.937138  y = 0.027754 
x = 0.944563  y = 0.028015 
x = 0.944563  y = 0.028015 
x = 0.952479  y = 0.028302 
x = 0.959870  y = 0.028559 
x = 0.959870  y = 0.028559 
x = 0.967714  y = 0.028822 
x = 0.975725  y = 0.029079 
x = 0.983122  y = 0.029305 
x = 0.983122  y = 0.029305 
x = 0.991213  y = 0.029540 
x = 0.998649  y = 0.029746 
x = 0.998649  y = 0.029746 
x = 0.997306  y = 0.029717 
x = 0.996790  y = 0.029703 
x = 0.996732  y = 0.029702 
x = 0.996730  y = 0.029702 
x = 0.996730  y = 0.029702 
x = 0.996729  y = 0.029702 
x = 0.996729  y = 0.029702 
x = 0.996729  y = 0.029702 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996730  y = 0.029701 
x = 0.996731  y = 0.029700 
x = 0.996731  y = 0.029700 
x = 0.996636  y = 0.029761 
x = 0.996636  y = 0.029761 
x = 0.996579  y = 0.029721 
x = 0.996579  y = 0.029721 
x = 0.996719  y = 0.029796 
x = 0.997690  y = 0.029708 
x = 0.998772  y = 0.029747 
x = 0.998772  y = 0.029747 
x = 0.999868  y = 0.029766 
x = 1.001046  y = 0.029898 
x = 1.001046  y = 0.029898 
x = 1.001962  y = 0.030288 
x = 1.002995  y = 0.030538 
x = 1.002995  y = 0.030538 
x = 1.004836  y = 0.030404 
x = 1.004836  y = 0.030404 
x = 1.005507  y = 0.030354 
x = 1.006188  y = 0.030298 
x = 1.006188  y = 0.030298 
x = 1.006752  y = 0.030665 
x = 1.007011  y = 0.030814 
x = 1.007011  y = 0.030814 
x = 1.007727  y = 0.031412 
x = 1.007714  y = 0.032180 
x = 1.007714  y = 0.032180 
x = 1.007916  y = 0.033315 
x = 1.007660  y = 0.033814 
x = 1.007660  y = 0.033814 
x = 1.007378  y = 0.035382 
x = 1.007474  y = 0.036125 
x = 1.007821  y = 0.036390 
x = 1.007821  y = 0.036390 
x = 1.008313  y = 0.036160 
x = 1.008110  y = 0.037155 
x = 1.008110  y = 0.037155 
x = 1.008329  y = 0.038113 
x = 1.008329  y = 0.038113 
x = 1.008712  y = 0.038668 
x = 1.008710  y = 0.039334 
x = 1.008710  y = 0.039334 
x = 1.008906  y = 0.039777 
x = 1.008986  y = 0.039988 
